"Trip_ID","Distance_km","Avg_Speed","Traffic_Density","Num_Traffic_Lights","Num_Stops","Weather_Condition","Road_Type","Accident_Occurrence","Fuel_Consumption","Day_of_Week","Travel_Time"
337,15.8,42.3,95,7,6,"Foggy","Arterial",1,1.72,"Wednesday",58.6
338,15,56.1,190,11,5,"Sunny","Local",0,2.21,"Monday",41.5
339,15,26.3,90,8,6,"Storm","Local",0,1.33,"Monday",63.5
340,19.7,32.1,175,12,1,"Storm","Highway",0,1.13,"Wednesday",71.8
341,11.8,43,180,8,7,"Sunny","Arterial",1,2.2,"Wednesday",53.6
342,7.7,33.3,229,12,1,"Foggy","Highway",0,1.26,"Wednesday",40.7
343,13.4,45.1,224,6,7,"Rainy","Highway",0,2.2,"Thursday",47.7
344,9.2,41.9,212,2,4,"Storm","Local",0,1.06,"Thursday",40.8
345,12.8,44.9,194,4,3,"Sunny","Highway",0,2.27,"Saturday",33.6
346,11.2,30,158,9,8,"Foggy","Arterial",0,2.23,"Thursday",52
347,19.8,30.1,175,2,2,"Storm","Arterial",1,2.35,"Monday",75.6
348,11.4,39.4,141,9,6,"Rainy","Local",0,1.56,"Saturday",40.5
349,9.2,48.9,242,8,2,"Rainy","Arterial",0,1.46,"Monday",37.1
350,14.7,47.9,170,4,4,"Foggy","Local",0,2.38,"Sunday",41.6
351,7.9,57.1,229,2,7,"Rainy","Local",0,1.48,"Saturday",36.5
352,19.5,53.5,168,9,1,"Storm","Arterial",1,2.39,"Wednesday",59
353,13.2,48.7,222,12,1,"Sunny","Local",0,1.9,"Monday",42.6
354,8.3,53.3,202,9,7,"Sunny","Local",0,1.87,"Tuesday",35
355,14.7,29.5,114,8,4,"Sunny","Arterial",0,2.1,"Wednesday",46.5
356,19.8,33.8,109,10,1,"Sunny","Arterial",0,1.6,"Monday",52.7
357,15.4,36.6,241,12,1,"Sunny","Local",0,1.55,"Sunday",51.5
358,11.9,39.3,148,2,5,"Rainy","Local",0,1.65,"Sunday",39.1
359,10.5,47.2,209,9,6,"Storm","Arterial",1,1.5,"Friday",63.7
360,17.7,53.3,102,2,1,"Sunny","Highway",0,2.05,"Saturday",27.9
361,8,34.1,100,7,2,"Foggy","Highway",0,1.4,"Saturday",39.5
362,8.7,53.7,98,3,3,"Sunny","Local",0,2.28,"Sunday",25.5
363,18.6,25.5,216,6,5,"Foggy","Local",0,2.4,"Sunday",72
364,10.3,47.9,183,11,8,"Storm","Highway",0,1.7,"Wednesday",51.8
365,11.1,53.4,111,4,8,"Storm","Arterial",0,1.01,"Saturday",39.6
366,17,41.1,127,11,3,"Rainy","Arterial",1,2.41,"Friday",60.2
367,8.7,32.1,94,5,1,"Foggy","Local",1,1.65,"Sunday",40.5
368,6.2,25.7,233,9,7,"Storm","Arterial",0,2.25,"Saturday",48.7
369,11.7,34.9,227,7,7,"Sunny","Local",0,1.77,"Tuesday",44.6
370,12.8,57,114,10,2,"Foggy","Highway",0,1.72,"Monday",37.6
371,11.9,57.7,134,6,5,"Rainy","Arterial",0,1.22,"Monday",34.2
372,10.8,44,238,2,7,"Sunny","Arterial",0,1.09,"Tuesday",34.1
373,18.1,32.7,204,2,3,"Foggy","Highway",0,1.98,"Wednesday",59.5
374,12.4,42.1,231,3,8,"Rainy","Local",0,1.56,"Thursday",44.7
375,13.5,53,96,11,1,"Foggy","Arterial",0,1.04,"Friday",40.7
376,19.5,39.3,150,10,2,"Foggy","Local",0,1.11,"Saturday",54.2
377,16.8,28.6,156,12,2,"Rainy","Local",0,2.25,"Wednesday",57.9
378,8.9,34.8,242,2,4,"Sunny","Highway",0,2.1,"Wednesday",30.3
379,10.3,37.7,92,3,6,"Storm","Arterial",1,1.07,"Saturday",54.1
380,19.6,34.1,147,12,4,"Sunny","Arterial",0,2.09,"Tuesday",59.1
381,14.2,41.5,206,10,3,"Sunny","Highway",0,1.02,"Monday",42.6
382,16.7,37.8,104,2,4,"Rainy","Highway",0,1.92,"Sunday",49.4
383,11.2,29.2,108,3,3,"Storm","Arterial",0,1.33,"Sunday",50
384,16.8,26.6,95,5,8,"Sunny","Local",1,1.93,"Monday",70.2
385,13.5,34.2,248,9,7,"Rainy","Local",0,1.85,"Friday",56.7
386,18.8,58.9,88,9,4,"Sunny","Local",1,1.76,"Thursday",49.2
387,8.6,42.1,116,6,5,"Rainy","Arterial",0,1.39,"Tuesday",32.2
388,10,41.7,133,10,8,"Storm","Arterial",1,1.54,"Saturday",61.3
389,7.3,51.2,103,11,2,"Foggy","Local",0,1.43,"Friday",37
390,8.9,48.4,93,2,6,"Foggy","Highway",0,1.29,"Saturday",29.6
391,19.7,26.7,237,5,5,"Foggy","Local",1,1.95,"Monday",84.6
392,10.1,49.3,188,8,5,"Storm","Highway",0,1.02,"Sunday",43.3
393,16.2,37.7,195,7,5,"Sunny","Local",0,1.22,"Friday",46.2
394,17,55.9,190,12,6,"Sunny","Local",0,1.76,"Friday",43
395,7.5,52.1,119,3,3,"Rainy","Local",0,1.7,"Wednesday",22.7
396,9.4,29.9,198,8,7,"Sunny","Arterial",1,1.78,"Tuesday",51.4
397,9.8,35.3,246,4,3,"Rainy","Highway",1,2.04,"Saturday",54.2
398,7.4,29.4,151,12,4,"Sunny","Highway",0,2.5,"Friday",39.5
399,7.7,45.6,93,3,3,"Sunny","Local",0,2.42,"Wednesday",22.3
400,19.9,44.7,144,2,5,"Sunny","Highway",0,2.43,"Thursday",42.6
401,19.8,49.1,230,7,1,"Rainy","Arterial",1,2.03,"Tuesday",56
402,7.9,35.9,105,7,3,"Rainy","Arterial",0,2.1,"Friday",36
403,18.7,46.2,125,5,1,"Storm","Local",0,2.44,"Thursday",46.9
404,14.1,59.7,102,6,8,"Storm","Arterial",0,1.31,"Tuesday",47.4
405,11.5,51,228,6,1,"Storm","Highway",0,2.01,"Tuesday",40.1
406,12.3,27.7,160,11,8,"Foggy","Highway",0,1.15,"Sunday",56.1
407,15.9,40.8,118,9,1,"Storm","Arterial",0,1.75,"Saturday",51.4
408,7.2,26.9,150,7,4,"Foggy","Local",0,2.14,"Thursday",37.6
409,10.8,36.9,124,11,8,"Storm","Highway",0,1.02,"Monday",51.4
410,15.5,50.7,126,8,8,"Foggy","Highway",0,1.24,"Sunday",51.5
411,10.4,25.1,155,4,7,"Sunny","Highway",0,1.17,"Tuesday",43.7
412,17.6,52,175,2,3,"Sunny","Highway",0,2.2,"Thursday",32.8
413,9,41.2,139,3,4,"Rainy","Highway",0,1.56,"Thursday",34.7
414,13,50.2,162,11,8,"Sunny","Highway",0,1.95,"Friday",39.4
415,9.9,48.3,168,6,8,"Storm","Local",1,2.14,"Tuesday",55.1
416,8.7,45,224,6,2,"Sunny","Highway",0,1.37,"Wednesday",32.2
417,19.3,49.6,216,8,7,"Sunny","Arterial",0,1.56,"Tuesday",49
418,10.5,48,188,2,2,"Storm","Local",0,1.51,"Sunday",36.4
419,12.7,35.1,205,2,8,"Rainy","Local",0,2.06,"Wednesday",41.6
420,6.4,28.4,189,11,8,"Sunny","Local",0,1.86,"Saturday",43.8
